,Year,Type,Country,Sex ,Age,Fatal (Y/N),Month,Day,date_clean,Age_clean,Species_clean_2,Time_clean,Activity_clean_1,Activity_clean_2
3670,1964,Unprovoked,panama,M,21,N,08,01,1964-08-01,21.0,other/NA,P.M.,free diving,free diving
3671,1964,Provoked,usa,M,22,N,07,27,1964-07-27,22.0,other/NA,P.M.,,Other
3672,1964,Unprovoked,south africa,M,30,N,07,16,1964-07-16,30.0,other/NA,,searching,Other
3673,1964,Invalid,usa,,,UNKNOWN,07,15,1964-07-15,,other/NA,,,Other
3674,1964,Invalid,south africa,M,52,Y,07,10,1964-07-10,52.0,other/NA,P.M.,spearfishing,spearfishing
3675,1964,Provoked,usa,M,,N,07,08,1964-07-08,,white shark,A.M.,tagging,Other
3676,1964,Unprovoked,papua new guinea,M,,Y,07,01,1964-07-01,,other/NA,,standing,standing
3677,1964,Boat,papua new guinea,,,N,07,01,1964-07-01,,other/NA,P.M.,canoeing,Other
3678,1964,Sea Disaster,bermuda,,,Y,06,29,1964-06-29,,other/NA,P.M.,conducting,Other
3679,1964,Invalid,usa,F,29,UNKNOWN,06,28,1964-06-28,29.0,other/NA,,attempting,Other
3680,1964,Boat,usa,,,N,06,24,1964-06-24,,other/NA,P.M.,fishing,fishing
3681,1964,Boat,papua new guinea,M,,N,06,17,1964-06-17,,other/NA,A.M.,fishing,fishing
3682,1964,Unprovoked,fiji,M,23,N,06,23,1964-06-23,23.0,other/NA,P.M.,spearfishing,spearfishing
3683,1964,Invalid,south africa,M,40,UNKNOWN,06,02,1964-06-02,40.0,other/NA,A.M.,swimming,swimming
3684,1964,Unprovoked,panama,M,47,N,05,30,1964-05-30,47.0,other/NA,,standing,standing
3685,1964,Unprovoked,fiji,M,35,Y,05,08,1964-05-08,35.0,tiger shark,A.M.,spearfishing,spearfishing
3686,1964,Unprovoked,panama,M,13,Y,05,01,1964-05-01,13.0,other/NA,,skin diving,Other
3687,1964,Unprovoked,papua new guinea,M,,Y,04,07,1964-04-07,,other/NA,,fishing,fishing
3688,1964,Unprovoked,australia,M,19,N,03,28,1964-03-28,19.0,other/NA,A.M.,surfing,surfing
3689,1964,Sea Disaster,papua new guinea,M,32,Y,03,28,1964-03-28,32.0,other/NA,A.M.,,Other
3690,1964,Unprovoked,usa,M,38,N,03,05,1964-03-05,38.0,other/NA,,skin diving,Other
3691,1964,Unprovoked,senegal,M,,N,03,01,1964-03-01,,other/NA,,free diving,free diving
3692,1964,Provoked,fiji,,,N,02,17,1964-02-17,,tiger shark,,fishing,fishing
3693,1964,Unprovoked,new caledonia,M,15,Y,02,14,1964-02-14,15.0,other/NA,,diving,diving
3694,1964,Unprovoked,fiji,M,17,Y,02,14,1964-02-14,17.0,other/NA,,spearfishing,spearfishing
3695,1964,Unprovoked,new zealand,M,,N,02,11,1964-02-11,,other/NA,,preparing,Other
3696,1964,Unprovoked,new zealand,M,26,N,02,10,1964-02-10,26.0,white shark,A.M.,spearfishing,spearfishing
